Citroen dealer
City clerk’s office
City courthouse
City department of transportation
City district office
City employment department
City government office
City or town hall
City park
City pillar shrine
City tax office
Civic center
Civil defense
Civil engineer
Civil engineering company
Civil examinations academy
Civil law attorney
Civil police
Classified ads newspaper publisher
Cleaners
Cleaning products supplier
Clergyman
Clock repair service
Clock and watch maker
Closed circuit television
Clothes and fabric manufacturer
Clothes and fabric wholesaler
Clothes market
Clothing alteration service
Clothing store
Clothing supplier
Clothing wholesale market place
Clothing wholesaler
Club
CNG fitment center
Compressed natural gas station
Coaching center
Coal exporter
Coal supplier
Coalfield
Coast guard station
Cocktail bar
Co-ed school
Coffee machine supplier
Coffee roasters
Coffee shop
Coffee stand
Coffee store
Coffee vending machine
Coffee wholesaler
Coffin supplier
Coin dealer
Coin operated laundry equipment supplier
Coin operated locker
Cold cut store
Cold noodle restaurant
Cold storage facility
Collectibles store
College
College of agriculture
Colombian restaurant
Combined primary and secondary school
Comedy club
Comic book store
Comic cafe
Commercial agent
Commercial printer
Commercial real estate agency
Commercial real estate inspector
Commercial refrigerator supplier
Commissioner for Oaths
Community center
Community college
Community garden
Community health center
Community school
Company registry
Comprehensive secondary school
Computer accessories store
Computer club
Computer consultant
Computer desk store
Computer hardware manufacturer
Computer networking service
Computer repair service
Computer security service
Computer service
Computer software store
Computer store
Computer support and services
Computer training school
Computer wholesaler
Concert hall
Concrete contractor
Concrete factory
Concrete metal framework supplier
Concrete product supplier
Condiments supplier
Condominium complex
Condominium rental agency
